"name","concept_id","Manual","concept_me","valid_concept_id","domain_id","concept_class_id","Manual_Req","concept_code_atc"
"selinexor; oral",715834,715834,"selinexor; oral",715834,"Drug","ATC",NA,"L01XX66"
"bortezomib; parenteral",947957,947957,"bortezomib; parenteral",947957,"Drug","ATC",NA,"L01XG01"
"carfilzomib; parenteral",947958,947958,"carfilzomib; parenteral",947958,"Drug","ATC",NA,"L01XG02"
"ixazomib; oral",947997,947997,"ixazomib; oral",947997,"Drug","ATC",NA,"L01XG03"
"ciltacabtagene autoleucel; parenteral",954923,954923,"ciltacabtagene autoleucel; parenteral",954923,"Drug","ATC",NA,"L01XL05"
"daratumumab; parenteral",954942,954942,"daratumumab; parenteral",954942,"Drug","ATC",NA,"L01FC01"
"idecabtagene vicleucel; parenteral",955017,955017,"idecabtagene vicleucel; parenteral",955017,"Drug","ATC",NA,"L01XL07"
"isatuximab; parenteral",955028,955028,"isatuximab; parenteral",955028,"Drug","ATC",NA,"L01FC02"
"venetoclax; oral",1123676,1123676,"venetoclax; oral",1123676,"Drug","ATC",NA,"L01XX52"
"cyclophosphamide; systemic",21601390,21601390,"cyclophosphamide; systemic",21601390,"Drug","ATC",NA,"L01AA01"
"melphalan; systemic",21601392,21601392,"melphalan; systemic",21601392,"Drug","ATC",NA,"L01AA03"
"dexamethasone; systemic",21602730,21602730,"dexamethasone; systemic",21602730,"Drug","ATC",NA,"H02AB02"
"prednisone; oral",21602735,21602735,"prednisone; oral",21602735,"Drug","ATC",NA,"H02AB07"
"thalidomide; oral",21603928,21603928,"thalidomide; oral",21603928,"Drug","ATC",NA,"L04AX02"
"lenalidomide; oral",21603930,21603930,"lenalidomide; oral",21603930,"Drug","ATC",NA,"L04AX04"
"pomalidomide; oral",43534824,43534824,"pomalidomide; oral",43534824,"Drug","ATC",NA,"L04AX06"
